source,target,distance
Central,Obonuco,5
Central,Catambuco,6
Central,Anganoy,8
Central,Bolivar,3
Bolivar,LaRosa,4
Bolivar,Centro,3
Centro,SanJuan,3
Centro,LaFlorida,4
LaFlorida,SanJuan,6
LaFlorida,Obonuco,7
Obonuco,SantaBarbara,5
SantaBarbara,Anganoy,3
Anganoy,Catambuco,2
Catambuco,Centro,5
Catambuco,LaRosa,4
LaRosa,Obonuco,6
SanJuan,Bolivar,7
SanJuan,Central,9
LaFlorida,Central,5
Centro,Anganoy,3
# --- continue same pattern ---
Central,SanLuis,4
SanLuis,Catambuco,3
SanLuis,LaRosa,5
SanLuis,SanJuan,8
SanLuis,Obonuco,6
LaRosa,SanLuis,5
Obonuco,SanLuis,6
Catambuco,SantaBarbara,4
SantaBarbara,Centro,3
SantaBarbara,Bolivar,5
Central,SanJuan,10
Centro,Obonuco,7
LaFlorida,SantaBarbara,6
Catambuco,SanJuan,8
Bolivar,SanLuis,4
LaRosa,Centro,3
LaFlorida,SanLuis,5
Centro,LaRosa,3
LaFlorida,Catambuco,4
Bolivar,Obonuco,6
Obonuco,Centro,3
SanJuan,LaFlorida,6
SanJuan,Anganoy,5
Catambuco,Central,8
Centro,Bolivar,3
Anganoy,Central,5
SantaBarbara,SanJuan,7
Central,LaFlorida,4
Centro,SanLuis,5
LaRosa,Anganoy,3
Obonuco,LaFlorida,6
